P03198,1,-1,1,-1,-1
P02604,1,-1,-1,-1,-1
P02457,1,-1,-1,-1,-1
P03561,1,1,1,1,-1
P00087,1,1,-1,-1,-1
P02998,1,-1,-1,-1,-1
P01999,1,-1,-1,-1,-1
P02700,1,1,-1,-1,-1
P02441,1,-1,-1,-1,-1
P00793,1,1,1,1,-1
P02614,1,1,-1,-1,-1
P00591,1,1,1,-1,-1
P03190,1,-1,-1,-1,-1
P01900,1,-1,-1,-1,-1
P02753,1,-1,-1,-1,-1
P01468,1,-1,-1,-1,-1
P02709,1,1,-1,-1,-1
P03683,1,-1,-1,-1,-1
P00157,1,1,-1,-1,-1
P03072,1,1,-1,-1,-1
P03154,1,1,-1,-1,-1
P00316,1,1,-1,-1,-1
P03138,1,1,-1,-1,-1
P02444,1,-1,-1,-1,-1
P00030,1,1,-1,-1,-1
P01411,1,-1,-1,-1,-1
P02643,1,-1,-1,-1,-1
P03130,1,1,-1,-1,-1
P00724,1,1,1,-1,-1
P03085,1,1,-1,-1,-1
P02895,1,-1,-1,-1,-1
P02276,1,-1,-1,-1,-1
P00116,1,1,-1,-1,-1
P00184,1,1,-1,-1,-1
P01628,1,-1,-1,-1,-1
P01023,1,-1,-1,1,-1
P01781,1,-1,-1,1,-1
P01879,1,-1,-1,-1,-1
P02110,1,-1,-1,-1,-1
P01715,1,-1,-1,1,-1
P00018,1,1,-1,-1,-1
P00929,1,-1,1,1,-1
P00411,1,1,-1,-1,-1
P01647,1,-1,-1,-1,-1
P02187,1,-1,-1,-1,-1
P01481,1,-1,-1,-1,-1
P02657,1,-1,-1,-1,-1
P00779,1,1,1,1,-1
P02122,1,-1,1,-1,-1
P02493,1,-1,-1,-1,-1
P02600,1,-1,-1,-1,-1
P00968,1,-1,1,1,-1
P00212,1,1,-1,-1,-1
P01894,1,-1,-1,-1,-1
P01505,1,-1,-1,-1,-1
P00965,1,-1,1,1,-1
P01969,1,-1,-1,-1,-1
P02573,1,-1,-1,-1,-1
P02246,1,-1,-1,-1,-1
P01292,1,-1,1,1,-1
P03004,1,1,-1,-1,-1
P02199,1,-1,-1,-1,-1
P00362,1,1,-1,-1,-1
P03013,1,-1,-1,-1,-1
P01565,1,-1,-1,1,-1
P01154,1,-1,-1,1,-1
P02522,1,-1,-1,-1,-1
P01425,1,-1,-1,-1,-1
P01824,1,-1,-1,1,-1
P03637,1,1,-1,-1,-1
P03658,1,-1,-1,-1,-1
P03116,1,1,-1,-1,-1
P00059,1,1,-1,-1,-1
P01629,1,-1,-1,-1,-1
P02169,1,-1,1,1,-1
P03522,1,-1,1,-1,-1
P01365,1,-1,-1,-1,-1
P03123,1,1,-1,-1,-1
P03208,1,1,1,-1,-1
P02402,1,-1,-1,-1,-1
P03611,1,-1,-1,-1,-1
P02361,1,-1,-1,-1,-1
P02103,1,-1,-1,-1,-1
P01252,1,-1,-1,-1,-1
P03074,1,1,-1,-1,-1
P01558,1,-1,-1,1,-1
P02212,1,-1,-1,-1,-1
P01651,1,-1,-1,-1,-1
P03028,1,1,-1,-1,-1
P03093,1,1,-1,-1,-1
P01226,1,-1,-1,-1,-1
P01874,1,-1,-1,-1,-1
P01946,1,-1,-1,-1,-1
P02223,1,-1,-1,-1,-1
P01272,1,-1,-1,1,-1
P02322,1,1,-1,-1,-1
P01777,1,-1,-1,-1,-1
P00235,1,1,-1,-1,-1
P00858,1,1,1,-1,-1
P00305,1,1,-1,-1,-1
P01736,1,-1,-1,1,-1
P00244,1,1,-1,-1,-1
P00172,1,1,-1,-1,-1
P01266,1,-1,-1,-1,-1
P01571,1,-1,-1,1,-1
P01409,1,-1,-1,-1,-1
P03030,1,1,-1,-1,-1
P01050,1,-1,-1,1,-1
P02983,1,-1,-1,-1,-1
P02423,1,-1,-1,-1,-1
P01744,1,-1,1,1,-1
P02070,1,-1,-1,1,-1
P02024,1,-1,-1,-1,-1
P02439,1,-1,-1,-1,-1
P00406,1,1,-1,-1,-1
P03374,1,1,1,-1,-1
P00192,1,1,-1,-1,-1
P03520,1,1,1,1,-1
P00680,1,1,1,-1,-1
